angle,d_ho_ice,l_ho_ice,d_ho_clean,l_ho_clean,d_et_ice,l_et_ice,d_et_clean,l_et_clean,d_tu_ice,l_tu_ice,d_tu_clean,l_tu_clean,d_ga_ice,l_ga_ice,d_ga_clean,l_ga_clean,d_hu_ice,l_hu_ice,d_hu_clean,l_hu_clean
0,0.038956566,0.470750831,0.026027397,0.474874372,0.017082111,0.358473824,0.005182927,0.421717172,0.045000664,0.454512635,0.009925373,0.504216867,0.010611111,0.401413656,0.008666667,0.46659891,0.030044,0.352127,0.015042,0.386275
1,0.040330478,0.575234551,0.028369,0.576644,0.01945,0.46331,0.005992,0.536869,0.03944,0.57399,0.010373,0.613855,0.014260864,0.475028489,0.010608025,0.575810126,0.032648,0.41365,0.016175,0.496875
2,0.041658849,0.683564651,0.029029,0.677702,0.021818,0.568036,0.006492,0.648674,0.03944,0.69277,0.0108,0.723494,0.017910617,0.548643321,0.012549383,0.68498613,0.035456,0.487563,0.017403,0.600174
3,0.044549764,0.793272558,0.033196,0.772008,0.024186,0.670975,0.006942,0.77197,0.04118,0.813,0.011343,0.839458,0.02156037,0.622258154,0.014490741,0.794162134,0.038189,0.554233,0.018765,0.702713
4,0.04810367,0.889063123,0.037255,0.86387,0.026716,0.770807,0.007464,0.878114,0.046,0.93037,0.0119,0.955422,0.025210123,0.695872987,0.016432099,0.903338138,0.040971,0.617448,0.020051,0.805107
5,0.051657577,0.983388704,0.041438356,0.961055276,0.031085044,0.854231366,0.008069741,0.986531987,0.049277505,1.025680554,0.012686567,1.062951807,0.028859877,0.769487819,0.018373457,1.012514141,0.045265,0.69166,0.022572,0.894444
6,0.05614538,1.039195707,0.048019,1.036894,0.031906,0.92449,0.009139,1.091414,0.05676,1.1198,0.0135,1.170482,0.038781033,0.789413734,0.021789314,1.110085701,0.049506,0.767832,0.025416,0.982841
7,0.06064055,1.094284079,0.054599,1.107153,0.040873,0.998092,0.009928,1.183939,0.07412,1.17133,0.014963,1.268524,0.048752442,0.808909449,0.025216985,1.207564275,0.053841,0.839142,0.02784,1.068309
8,0.066210164,1.132624585,0.062803,1.177412,0.045083,1.053416,0.010335,1.262121,0.09148,1.22323,0.016418,1.366566,0.05872385,0.828405164,0.028644657,1.30504285,0.056497,0.886994,0.0325,1.11616
9,0.072152264,1.159833887,0.071299,1.223882,0.049809,1.096495,0.0113,1.330952,0.11242,1.27513,0.017873,1.464608,0.068695258,0.847900879,0.032072328,1.402521425,0.058887,0.943657,0.037146,1.159201
10,0.093163441,1.186518784,0.079794521,1.285175879,0.063929619,1.127329193,0.014862805,1.390692641,0.126584507,1.327037811,0.019328358,1.562650602,0.078666667,0.867396594,0.0355,1.5,0.07411,0.981517,0.046021,1.213889
