Date/time [UTC],Speed_50m [m/s],Direction_50m [degrees],Temperature_10m [degrees C],Temperature_2m [degrees C],Pressure_0m [kPa],RH_2m [%]
2011-01-01T00:00:00,3.6,125.2,-14.5,-14.7,98.6,99.3
2011-01-01T01:00:00,3.74,122.6,-14.9,-15,98.6,99.3
2011-01-01T02:00:00,3.78,118.1,-15.1,-15.2,98.6,99.3
2011-01-01T03:00:00,3.5,116.8,-15,-15.1,98.7,99.4
2011-01-01T04:00:00,3.2,116.1,-14.9,-15,98.7,99.4
2011-01-01T05:00:00,3.08,116.6,-14.7,-14.8,98.8,99.4
2011-01-01T06:00:00,3.11,122.6,-14.6,-14.7,98.8,99.5
2011-01-01T07:00:00,3.12,126.5,-14.4,-14.5,98.9,99.5
2011-01-01T08:00:00,2.99,129.4,-14.2,-14.3,98.9,99.5
2011-01-01T09:00:00,2.84,127.4,-14.1,-14.2,98.9,99.5
2011-01-01T10:00:00,2.67,125.3,-14,-14.1,98.9,99.5
2011-01-01T11:00:00,2.6,125.6,-14,-14.2,99,99.5
2011-01-01T12:00:00,2.69,128.4,-14,-14.4,99,99.4
2011-01-01T13:00:00,2.7,133.3,-14,-14.5,99,99.5
2011-01-01T14:00:00,2.74,137.1,-14,-14.6,99.1,99.6
2011-01-01T15:00:00,2.9,141.1,-14.1,-14.8,99.1,99.6
2011-01-01T16:00:00,3.07,146.9,-14.2,-15.1,99.1,99.6
2011-01-01T17:00:00,3.02,152.6,-14.3,-15.6,99.2,99.5
2011-01-01T18:00:00,2.75,156,-14.1,-15.8,99.2,99.4
2011-01-01T19:00:00,2.48,157.1,-13.9,-15.7,99.2,99.4
2011-01-01T20:00:00,2.26,157.7,-13.8,-15.5,99.3,99.7
2011-01-01T21:00:00,1.85,159.1,-13.7,-15.2,99.3,99.7
2011-01-01T22:00:00,1.48,151.8,-13.8,-15,99.3,99.7
2011-01-01T23:00:00,1.33,138.8,-13.9,-15,99.3,99.5
2011-01-02T00:00:00,1.4,125.1,-14,-15.1,99.3,99.6
2011-01-02T01:00:00,1.7,115.5,-14.2,-15.4,99.4,99.5
2011-01-02T02:00:00,2.11,109.5,-14.3,-15.7,99.4,99.7
2011-01-02T03:00:00,2.25,107.9,-14.2,-15.5,99.4,99.5
2011-01-02T04:00:00,2.04,105.6,-13.9,-14.9,99.5,99.8
2011-01-02T05:00:00,1.79,95.3,-13.5,-14.4,99.5,100
2011-01-02T06:00:00,1.8,74.5,-13.3,-14.3,99.5,99.9
2011-01-02T07:00:00,2.31,55,-13.4,-14.5,99.5,99.7
2011-01-02T08:00:00,3.18,45.5,-13.6,-15.1,99.6,99.6
2011-01-02T09:00:00,3.95,45.5,-14.2,-15.7,99.6,99.5
2011-01-02T10:00:00,4.3,48.8,-14.3,-15.2,99.6,99.5
2011-01-02T11:00:00,4.36,52.7,-14.1,-14.9,99.7,99.6
2011-01-02T12:00:00,4.14,56.8,-14.1,-14.9,99.7,99.7
2011-01-02T13:00:00,3.79,60.3,-14.2,-15.1,99.7,99.6
2011-01-02T14:00:00,3.45,61.5,-13.9,-15.1,99.7,99.8
2011-01-02T15:00:00,3.34,60.2,-13.7,-15.1,99.8,99.8
2011-01-02T16:00:00,3.39,58.6,-13.8,-15.2,99.8,99.8
2011-01-02T17:00:00,3.41,56.9,-13.8,-15.4,99.7,99.8
2011-01-02T18:00:00,3.43,54.7,-14,-15.5,99.8,99.9
2011-01-02T19:00:00,3.49,51.7,-14.1,-15.6,99.8,100
2011-01-02T20:00:00,3.48,51.1,-14.4,-15.8,99.8,100
2011-01-02T21:00:00,3.3,49.9,-14.4,-15.6,99.8,100
2011-01-02T22:00:00,3.03,50.8,-14.2,-15.5,99.8,99.8
2011-01-02T23:00:00,2.55,55.5,-13.9,-15.2,99.8,99.9
2011-01-03T00:00:00,1.82,65.4,-13.5,-14.6,99.8,100
2011-01-03T01:00:00,1.05,85.9,-13.3,-13.9,99.7,99.9
2011-01-03T02:00:00,0.48,123,-13.1,-13.5,99.7,100
2011-01-03T03:00:00,0.09,233.9,-13.2,-13.6,99.7,100
2011-01-03T04:00:00,0.48,302.5,-13.4,-13.9,99.7,100
2011-01-03T05:00:00,0.77,304.2,-13.6,-14.3,99.7,100
2011-01-03T06:00:00,1.01,312,-13.8,-14.7,99.8,100
2011-01-03T07:00:00,1.37,322.3,-13.9,-15,99.8,100
2011-01-03T08:00:00,1.82,332.2,-14,-15.2,99.8,100
