Date/time [UTC],Speed_50m [m/s],Direction_50m [degrees],Temperature_10m [degrees C],Temperature_2m [degrees C],Pressure_0m [kPa],RH_2m [%]
2011-01-01T00:00:00,4.87,211.3,-16.9,-17.3,95.9,99.3
2011-01-01T01:00:00,4.79,213.3,-16.8,-17.2,95.9,99.3
2011-01-01T02:00:00,4.62,214.4,-16.6,-16.8,95.9,99.4
2011-01-01T03:00:00,4.38,213.4,-16.4,-16.6,95.9,99.5
2011-01-01T04:00:00,4.25,211.8,-16.4,-16.5,95.9,99.5
2011-01-01T05:00:00,4.33,216.7,-16.3,-16.4,96,99.4
2011-01-01T06:00:00,4.53,221.9,-16.2,-16.4,96,99.4
2011-01-01T07:00:00,4.81,223.9,-16.3,-16.6,96.1,99.4
2011-01-01T08:00:00,4.73,219.1,-16.6,-16.8,96.1,99.3
2011-01-01T09:00:00,4.85,217.6,-16.8,-17.1,96.1,99.3
2011-01-01T10:00:00,4.79,215.5,-17.1,-17.3,96.2,99.3
2011-01-01T11:00:00,4.7,213.3,-17.3,-17.5,96.2,99.3
2011-01-01T12:00:00,4.62,212.2,-17.3,-17.6,96.2,99.3
2011-01-01T13:00:00,4.56,209.5,-17.4,-17.6,96.3,99.3
2011-01-01T14:00:00,4.54,205.3,-17.4,-17.7,96.3,99.4
2011-01-01T15:00:00,4.51,204.1,-17.5,-17.7,96.4,99.4
2011-01-01T16:00:00,4.42,203.9,-17.6,-17.9,96.4,99.5
2011-01-01T17:00:00,4.34,202.4,-17.7,-18.1,96.5,99.6
2011-01-01T18:00:00,4.11,200.8,-17.8,-18.3,96.5,99.6
2011-01-01T19:00:00,3.83,200.2,-17.8,-18.3,96.5,99.7
2011-01-01T20:00:00,3.49,203.8,-17.8,-18.3,96.6,99.8
2011-01-01T21:00:00,3.18,210.3,-17.7,-18.5,96.6,99.5
2011-01-01T22:00:00,2.46,218.8,-17.7,-18.6,96.7,99.4
2011-01-01T23:00:00,1.81,223.7,-17.4,-18.3,96.7,99.5
2011-01-02T00:00:00,1.14,227.6,-17.3,-18,96.7,99.7
2011-01-02T01:00:00,0.54,227.9,-17.2,-17.9,96.8,100
2011-01-02T02:00:00,0.27,215.2,-17.3,-17.9,96.8,100
2011-01-02T03:00:00,0.2,244.5,-17.2,-17.9,96.8,100
2011-01-02T04:00:00,0.37,293.2,-17,-17.8,96.9,100
2011-01-02T05:00:00,0.64,310.1,-16.6,-17.5,96.9,100
2011-01-02T06:00:00,0.83,307.1,-16.2,-17.1,96.9,100
2011-01-02T07:00:00,1.07,316.6,-15.7,-16.6,97,100
2011-01-02T08:00:00,1.45,326.7,-15.1,-16.2,97,100
2011-01-02T09:00:00,1.64,329.1,-14.3,-15.5,97,100
2011-01-02T10:00:00,1.71,320.8,-13.6,-14.9,97,100
2011-01-02T11:00:00,2.03,312.8,-13,-14.6,97,100
2011-01-02T12:00:00,2.71,313.4,-12.7,-14.7,97,100
2011-01-02T13:00:00,3.33,314.9,-11.9,-13.9,97,100
2011-01-02T14:00:00,3.79,318.7,-11.3,-13,97,100
2011-01-02T15:00:00,4.13,319.1,-10.7,-12.1,97,100
2011-01-02T16:00:00,4.49,312.5,-10.2,-11.2,97,100
2011-01-02T17:00:00,4.77,316.3,-9.7,-10.5,97,100
2011-01-02T18:00:00,5.11,326.4,-9.3,-10,97,100
2011-01-02T19:00:00,5.63,342.3,-8.6,-9.4,97,99.8
2011-01-02T20:00:00,6,350,-8.2,-9.2,97,99.4
2011-01-02T21:00:00,6.11,354.4,-8,-8.9,97,98.9
2011-01-02T22:00:00,5.56,352.1,-8.2,-8.8,97,98.4
2011-01-02T23:00:00,5.31,351.5,-8.4,-8.8,97,98.1
2011-01-03T00:00:00,5.2,351.1,-8.5,-8.8,97,97.9
2011-01-03T01:00:00,5.27,353.1,-8.6,-8.9,97,97.7
2011-01-03T02:00:00,5.21,355.2,-8.9,-9.1,97,97.8
2011-01-03T03:00:00,5.36,354.1,-9.2,-9.4,97,97.8
2011-01-03T04:00:00,5.71,357,-9.3,-9.5,97,97.5
2011-01-03T05:00:00,5.74,355.5,-9.4,-9.6,97,97.5
2011-01-03T06:00:00,5.48,350.3,-9.7,-9.9,97.1,97.7
2011-01-03T07:00:00,5.62,344.3,-10.2,-10.5,97.1,97.3
2011-01-03T08:00:00,5.26,334.6,-11.2,-11.4,97.1,97.5
2011-01-03T09:00:00,5.25,325.1,-12.4,-12.6,97.1,97.5
2011-01-03T10:00:00,5.65,324.1,-13.3,-13.6,97.1,97.3
2011-01-03T11:00:00,5.48,322.5,-14.1,-14.2,97.1,97.3
2011-01-03T12:00:00,5.14,315.4,-14.5,-14.6,97.1,97.1
2011-01-03T13:00:00,5.67,321.9,-14,-14.1,97.1,97.3
2011-01-03T14:00:00,5.28,323.6,-13.2,-13.5,97.1,97.2
2011-01-03T15:00:00,5.37,327.6,-12.5,-12.8,97.1,97.2
2011-01-03T16:00:00,5.05,331.9,-12,-12.4,97.1,97.4
2011-01-03T17:00:00,4.75,339.4,-11.7,-12.2,97.1,97.6
2011-01-03T18:00:00,4.31,346.5,-11.6,-12.2,97.2,98.4
2011-01-03T19:00:00,3.6,349.9,-11.6,-12.4,97.2,98.7
2011-01-03T20:00:00,3.26,352.4,-11.7,-12.7,97.2,98.7
2011-01-03T21:00:00,2.94,355.5,-11.7,-12.7,97.3,98.8
2011-01-03T22:00:00,2.59,355.9,-11.8,-12.9,97.3,98.8
2011-01-03T23:00:00,2.52,358,-12,-13.3,97.3,98.9
2011-01-04T00:00:00,2.32,359.3,-12.1,-13.6,97.3,98.9
2011-01-04T01:00:00,2.03,355.7,-12.2,-13.8,97.3,98.9
2011-01-04T02:00:00,1.77,351.3,-12.4,-13.9,97.4,98.2
2011-01-04T03:00:00,1.5,345.3,-12.6,-13.9,97.4,98.2
2011-01-04T04:00:00,1.25,340.8,-12.8,-14,97.4,99
2011-01-04T05:00:00,0.98,334.6,-13,-14,97.5,99.8
2011-01-04T06:00:00,0.83,314.8,-13.2,-14.1,97.6,100
2011-01-04T07:00:00,0.95,288.2,-13.3,-14.3,97.6,100
2011-01-04T08:00:00,1.25,273.3,-13.5,-14.5,97.7,100
2011-01-04T09:00:00,1.62,265,-13.9,-15.1,97.7,100
