Date/time [UTC],Speed_50m [m/s],Direction_50m [degrees],Temperature_10m [degrees C],Temperature_2m [degrees C],Pressure_0m [kPa],RH_2m [%]
2011-01-01T00:00:00,7.5,208.5,-12.5,-12.5,97.6,94.7
2011-01-01T01:00:00,7.65,211.5,-12.4,-12.4,97.6,94.7
2011-01-01T02:00:00,7.92,212.1,-12.5,-12.4,97.6,94.5
2011-01-01T03:00:00,8.48,211,-12.6,-12.5,97.6,94.1
2011-01-01T04:00:00,9.24,209.8,-12.8,-12.7,97.7,94.1
2011-01-01T05:00:00,10.25,209.2,-12.9,-12.9,97.7,94.1
2011-01-01T06:00:00,11.54,210.5,-12.7,-12.7,97.8,94.2
2011-01-01T07:00:00,11.37,208.4,-12.6,-12.6,97.8,93.9
2011-01-01T08:00:00,11.7,206.3,-12.4,-12.3,97.9,93.7
2011-01-01T09:00:00,11.99,204.5,-12.1,-12,97.9,93.3
2011-01-01T10:00:00,11.88,203,-12,-11.9,98,93
2011-01-01T11:00:00,11.53,201.3,-12.1,-12,98,92.8
2011-01-01T12:00:00,11.09,199.1,-12.2,-12.1,98.1,92.8
2011-01-01T13:00:00,10.7,196.2,-12.2,-12.1,98.1,92.9
2011-01-01T14:00:00,10.42,193.2,-12.2,-12.1,98.2,93.2
2011-01-01T15:00:00,10.48,191.5,-12.2,-12.1,98.2,93.5
2011-01-01T16:00:00,10.21,188.6,-12.2,-12.1,98.3,93.6
2011-01-01T17:00:00,10.24,187.4,-12.3,-12.2,98.3,93.7
2011-01-01T18:00:00,10.31,187.1,-12.4,-12.3,98.3,93.9
2011-01-01T19:00:00,9.45,183.8,-12.6,-12.6,98.4,94.1
2011-01-01T20:00:00,9.4,182.2,-12.8,-12.8,98.4,94.3
2011-01-01T21:00:00,9.43,185,-12.7,-12.7,98.4,94.6
2011-01-01T22:00:00,8.29,182.7,-13,-12.9,98.4,94.7
2011-01-01T23:00:00,7.77,181.2,-13.4,-13.4,98.4,94.5
2011-01-02T00:00:00,7.51,182.4,-13.9,-13.9,98.5,94.8
2011-01-02T01:00:00,7.28,184.6,-14.4,-14.4,98.5,95.5
2011-01-02T02:00:00,7.01,187.8,-14.7,-14.7,98.5,95.8
2011-01-02T03:00:00,6.88,190.8,-14.9,-14.9,98.5,96.1
2011-01-02T04:00:00,6.84,193.5,-15.2,-15.2,98.5,96.1
2011-01-02T05:00:00,6.76,196.6,-15.5,-15.5,98.5,96.2
2011-01-02T06:00:00,6.65,199.7,-15.8,-15.8,98.5,96.4
2011-01-02T07:00:00,6.56,201.8,-16.1,-16.1,98.6,96.3
2011-01-02T08:00:00,6.48,202.5,-16.3,-16.4,98.6,96.7
2011-01-02T09:00:00,6.33,202.4,-16.5,-16.6,98.6,97.2
2011-01-02T10:00:00,6.13,200.8,-16.7,-16.8,98.6,97.8
2011-01-02T11:00:00,6.1,197.6,-16.8,-17,98.6,98.3
2011-01-02T12:00:00,6.07,194.5,-16.9,-17.1,98.6,98.8
2011-01-02T13:00:00,5.9,192.9,-16.9,-17.1,98.6,99.3
2011-01-02T14:00:00,5.54,191.6,-16.8,-17.1,98.6,99.7
2011-01-02T15:00:00,4.98,189.1,-16.7,-17.1,98.6,100
2011-01-02T16:00:00,4.58,185.5,-16.4,-17,98.6,100
2011-01-02T17:00:00,4.4,183.6,-16.2,-16.8,98.6,100
2011-01-02T18:00:00,4.15,183.5,-16,-16.7,98.6,100
2011-01-02T19:00:00,3.63,184.7,-15.8,-16.6,98.5,100
2011-01-02T20:00:00,2.9,186.7,-15.6,-16.4,98.5,100
2011-01-02T21:00:00,2.26,192.9,-15.5,-16.2,98.5,100
2011-01-02T22:00:00,1.7,206.5,-15.4,-16,98.5,100
