Date/time [UTC],Speed_50m [m/s],Direction_50m [degrees],Temperature_10m [degrees C],Temperature_2m [degrees C],Pressure_0m [kPa],RH_2m [%]
2011-01-01T00:00:00,6.82,305.2,-7.9,-8.7,91,100
2011-01-01T01:00:00,7.15,299.7,-8.1,-8.8,91,100
2011-01-01T02:00:00,7.25,296.3,-8.2,-8.9,91,100
2011-01-01T03:00:00,7.2,294.5,-8.2,-8.9,91.1,100
2011-01-01T04:00:00,7.04,293.9,-8,-9,91.1,100
2011-01-01T05:00:00,6.75,297.3,-7.9,-9.1,91.1,100
2011-01-01T06:00:00,6.35,305.9,-7.9,-9.3,91.1,100
2011-01-01T07:00:00,6.18,317.2,-7.5,-9.2,91.2,100
2011-01-01T08:00:00,6.44,325.4,-7.1,-8.5,91.2,98.6
2011-01-01T09:00:00,6.78,331.9,-6.6,-7.7,91.3,97.2
2011-01-01T10:00:00,7.06,334.2,-6.1,-6.9,91.3,100
2011-01-01T11:00:00,7.27,336.6,-5.5,-6.1,91.4,100
2011-01-01T12:00:00,7.22,339.6,-5.4,-5.9,91.4,98.7
2011-01-01T13:00:00,6.74,339.1,-5.6,-6.2,91.5,95.5
2011-01-01T14:00:00,6.77,340.3,-5.7,-6.4,91.5,96.5
2011-01-01T15:00:00,6.55,343.9,-5.6,-6.4,91.6,96.2
2011-01-01T16:00:00,6.25,348.5,-5.7,-6.6,91.6,95.4
2011-01-01T17:00:00,5.66,350.7,-5.8,-7,91.7,94.6
2011-01-01T18:00:00,5.43,354.2,-5.9,-7.4,91.8,94.5
2011-01-01T19:00:00,4.74,355.6,-5.9,-7.7,91.8,95.7
2011-01-01T20:00:00,4.49,357.8,-6,-7.9,91.9,96.2
2011-01-01T21:00:00,4.41,358.4,-6.1,-8,91.9,95.8
2011-01-01T22:00:00,4.81,1.7,-6.5,-8,92,95.8
2011-01-01T23:00:00,5.65,6.3,-6.8,-7.9,92,95.8
2011-01-02T00:00:00,6.95,11.6,-6.7,-7.2,92.1,95.8
2011-01-02T01:00:00,7.62,14,-6.3,-6.6,92.1,96
2011-01-02T02:00:00,7.92,12.2,-6.4,-6.6,92.2,95.9
2011-01-02T03:00:00,7.75,6.3,-6.6,-6.9,92.3,95.6
2011-01-02T04:00:00,7.51,0.2,-6.9,-7.3,92.3,95.4
2011-01-02T05:00:00,7.89,359.5,-7.1,-7.6,92.4,95.2
2011-01-02T06:00:00,7.83,0.4,-7.2,-7.8,92.4,95.1
2011-01-02T07:00:00,8.02,1.3,-7.5,-8.2,92.5,95.1
2011-01-02T08:00:00,8.03,2.6,-7.8,-8.5,92.5,94.7
2011-01-02T09:00:00,7.16,1.2,-8.2,-9.1,92.6,95.3
2011-01-02T10:00:00,6.36,354.6,-8.9,-10.2,92.6,95.5
