Date/time [UTC],Speed_50m [m/s],Direction_50m [degrees],Temperature_10m [degrees C],Temperature_2m [degrees C],Pressure_0m [kPa],RH_2m [%]
2011-01-01T00:00:00,6.28,214.2,-12.4,-12.8,95.9,97.5
2011-01-01T01:00:00,5.96,219.8,-12.1,-12.6,95.9,97.5
2011-01-01T02:00:00,5.56,223.6,-11.7,-12.4,95.9,97.5
2011-01-01T03:00:00,5.21,225.4,-11.2,-12.1,95.9,97.6
2011-01-01T04:00:00,4.87,225.9,-10.7,-11.8,95.9,97.6
2011-01-01T05:00:00,4.42,226,-10.1,-11.5,96,97.6
2011-01-01T06:00:00,4.02,224.1,-9.8,-11.3,96,97.4
2011-01-01T07:00:00,3.64,222.2,-9.6,-11,96.1,97.2
2011-01-01T08:00:00,3.16,221,-9.3,-10.5,96.1,96.7
2011-01-01T09:00:00,2.64,215.9,-9.2,-10.2,96.2,96.3
2011-01-01T10:00:00,2.23,205.7,-9.1,-10.2,96.2,96.2
2011-01-01T11:00:00,1.85,196.5,-9.3,-10.4,96.3,96
2011-01-01T12:00:00,1.33,187.2,-9.5,-10.8,96.4,96.1
2011-01-01T13:00:00,0.69,157.9,-9.9,-11.5,96.5,96.1
2011-01-01T14:00:00,0.77,89.7,-10.2,-11.7,96.5,96.7
2011-01-01T15:00:00,1.3,62.6,-10.3,-11.6,96.6,97.4
2011-01-01T16:00:00,1.47,50.8,-10.3,-11.4,96.7,97.3
2011-01-01T17:00:00,1.43,36.1,-10.2,-11.3,96.7,98.8
2011-01-01T18:00:00,1.43,17,-10,-11.3,96.8,100
2011-01-01T19:00:00,1.65,4.4,-9.7,-11.2,96.9,100
2011-01-01T20:00:00,1.91,2.9,-9.3,-11,96.9,100
2011-01-01T21:00:00,1.99,2.4,-8.8,-10.5,96.9,100
2011-01-01T22:00:00,1.97,4.4,-8.3,-9.9,97,100
2011-01-01T23:00:00,1.68,2.1,-7.8,-9.3,97,100
2011-01-02T00:00:00,1.47,359.7,-7.5,-9,97,100
2011-01-02T01:00:00,1.3,356.1,-7.2,-8.8,97.1,100
2011-01-02T02:00:00,1.23,345.8,-6.9,-8.6,97.1,100
2011-01-02T03:00:00,1.44,340.8,-6.8,-8.4,97.1,100
2011-01-02T04:00:00,1.84,347,-6.6,-8.2,97.2,99.5
2011-01-02T05:00:00,2.51,354.1,-6.5,-7.7,97.2,99.2
2011-01-02T06:00:00,3.27,359,-6.1,-6.9,97.2,99.2
2011-01-02T07:00:00,3.42,355.8,-5.6,-6.3,97.3,99.3
2011-01-02T08:00:00,4.13,353.1,-5.4,-6.2,97.3,99.2
2011-01-02T09:00:00,5.32,357.4,-5.1,-6.1,97.3,98.8
2011-01-02T10:00:00,5.92,358,-4.8,-6,97.3,98.3
2011-01-02T11:00:00,6.22,359.1,-4.7,-5.9,97.4,97.8
2011-01-02T12:00:00,6.36,0.1,-4.7,-5.9,97.4,96.8
2011-01-02T13:00:00,6.63,3.6,-4.8,-5.8,97.4,95.6
2011-01-02T14:00:00,6.35,5,-4.8,-5.8,97.4,94.8
2011-01-02T15:00:00,5.89,3.4,-5,-6,97.4,94.4
2011-01-02T16:00:00,5.71,0.6,-5.2,-6.2,97.4,94.1
2011-01-02T17:00:00,5.86,358.3,-5.4,-6.3,97.4,94
2011-01-02T18:00:00,6.3,359.9,-5.5,-6.3,97.4,93.9
2011-01-02T19:00:00,6.47,357.8,-5.4,-6.2,97.5,94
2011-01-02T20:00:00,6.87,354.8,-5.4,-6,97.5,94.5
2011-01-02T21:00:00,7.3,351.5,-5.4,-5.9,97.5,95
2011-01-02T22:00:00,8.04,350.5,-5.5,-5.9,97.5,95.2
2011-01-02T23:00:00,8.5,348.5,-5.7,-6.1,97.5,95.3
2011-01-03T00:00:00,8.24,345.4,-6.3,-6.7,97.5,95.5
2011-01-03T01:00:00,9.13,345.6,-6.5,-7,97.5,96.2
2011-01-03T02:00:00,9.45,345,-6.5,-7,97.4,96.6
2011-01-03T03:00:00,9.4,345.3,-6.5,-7.1,97.4,96.4
2011-01-03T04:00:00,8.94,344.8,-6.5,-7.1,97.4,95.6
2011-01-03T05:00:00,8.08,341.1,-6.7,-7.2,97.4,94
2011-01-03T06:00:00,7.64,339.6,-6.6,-7.1,97.4,93.2
2011-01-03T07:00:00,7.1,342,-6.3,-6.8,97.4,93.7
2011-01-03T08:00:00,6.2,346.2,-6.1,-6.5,97.4,94.2
2011-01-03T09:00:00,5.69,354.2,-5.9,-6.4,97.4,94.6
2011-01-03T10:00:00,5.13,4.4,-5.9,-6.4,97.4,94.9
2011-01-03T11:00:00,4.28,16.1,-6,-6.8,97.4,95.2
2011-01-03T12:00:00,3.45,30.7,-6.2,-7.3,97.4,95.4
2011-01-03T13:00:00,2.71,41.6,-6.5,-7.7,97.5,95.5
2011-01-03T14:00:00,2.1,50.7,-6.9,-8,97.5,95.4
2011-01-03T15:00:00,1.62,55.6,-7.6,-8.6,97.5,95.4
2011-01-03T16:00:00,1.11,54.4,-8.3,-9.4,97.5,95.5
2011-01-03T17:00:00,0.74,30.5,-9.1,-10.1,97.5,95.7
2011-01-03T18:00:00,0.91,352,-9.6,-10.7,97.5,95.9
2011-01-03T19:00:00,1.58,338.1,-9.8,-10.8,97.6,95.9
2011-01-03T20:00:00,2.26,336.2,-9.7,-10.6,97.6,96.2
2011-01-03T21:00:00,2.7,337.3,-9.3,-10.3,97.6,96.2
2011-01-03T22:00:00,3.07,338,-8.9,-9.9,97.6,96.2
2011-01-03T23:00:00,3.32,337.8,-8.5,-9.6,97.7,96
2011-01-04T00:00:00,3.49,335.4,-8.3,-9.6,97.7,95.9
2011-01-04T01:00:00,3.74,332.1,-8.1,-9.7,97.7,96
2011-01-04T02:00:00,4.08,330,-8.1,-9.7,97.7,96
2011-01-04T03:00:00,4.49,330.1,-7.8,-9.6,97.7,96.3
2011-01-04T04:00:00,4.77,330.5,-7.5,-9.3,97.7,94.6
2011-01-04T05:00:00,4.91,330,-7.3,-9.3,97.8,93.7
2011-01-04T06:00:00,4.96,326.4,-7.3,-9.4,97.8,93.3
2011-01-04T07:00:00,5.1,322.2,-7.2,-9.1,97.8,93.1
2011-01-04T08:00:00,5.26,317.4,-7.2,-9.4,97.9,92.3
2011-01-04T09:00:00,5.47,312.1,-7.5,-9.8,97.9,91.9
2011-01-04T10:00:00,5.75,308,-7.8,-10.2,98,90.7
2011-01-04T11:00:00,6,304.8,-8.1,-10.5,98,89.2
2011-01-04T12:00:00,6.13,302.9,-8.4,-11.1,98,88.4
2011-01-04T13:00:00,6.08,300.4,-8.8,-11.8,98,91.2
2011-01-04T14:00:00,5.98,296.1,-9.2,-12.4,98,89.7
2011-01-04T15:00:00,5.8,290,-9.7,-13,98.1,89.7
2011-01-04T16:00:00,5.67,283.1,-10.5,-13.9,98.1,90.2
2011-01-04T17:00:00,5.62,275.9,-11.6,-14.9,98.1,93.6
2011-01-04T18:00:00,5.66,268.8,-12.9,-16,98.1,96.1
2011-01-04T19:00:00,5.76,263.1,-14.3,-16.6,98.2,92.4
2011-01-04T20:00:00,5.83,258.6,-15.3,-16.6,98.2,89.2
2011-01-04T21:00:00,5.71,254.5,-15.9,-16.3,98.2,85.2
2011-01-04T22:00:00,5.25,249.4,-16.5,-16.7,98.2,82.5
2011-01-04T23:00:00,5.12,243.1,-17.2,-17.4,98.2,83.4
2011-01-05T00:00:00,5.18,238.8,-17.7,-17.8,98.2,85.8
2011-01-05T01:00:00,5.24,234.9,-18.1,-18.2,98.2,86.9
2011-01-05T02:00:00,5.54,230.8,-18.3,-18.4,98.2,87.6
2011-01-05T03:00:00,5.98,226.7,-18.2,-18.3,98.2,88.1
2011-01-05T04:00:00,6.36,222.7,-18,-18.2,98.2,89.5
2011-01-05T05:00:00,6.72,220.1,-17.9,-18,98.2,90.7
2011-01-05T06:00:00,6.91,218.3,-18.1,-18.2,98.2,91.7
2011-01-05T07:00:00,6.89,215.5,-18.6,-18.7,98.2,91.5
2011-01-05T08:00:00,7.09,214.3,-19.4,-19.4,98.2,91.5
2011-01-05T09:00:00,7.2,213.4,-20.1,-20.2,98.2,91.6
2011-01-05T10:00:00,7.2,211.7,-20.8,-20.8,98.2,93.1
2011-01-05T11:00:00,7.17,207.8,-21.4,-21.5,98.2,94.5
2011-01-05T12:00:00,7.11,202.4,-22.1,-22.1,98.2,95.3
2011-01-05T13:00:00,7.22,197.5,-22.6,-22.6,98.2,96.3
2011-01-05T14:00:00,7.43,193.4,-22.7,-22.8,98.2,96.4
2011-01-05T15:00:00,7.59,192,-22.4,-22.5,98.2,96.4
2011-01-05T16:00:00,7.58,191.3,-22.1,-22.2,98.2,96.3
2011-01-05T17:00:00,7.51,190.7,-22.1,-22.1,98.2,96.4
2011-01-05T18:00:00,7.53,190.2,-22.1,-22.2,98.2,96.6
2011-01-05T19:00:00,7.61,189.9,-22,-22.2,98.2,96.6
2011-01-05T20:00:00,7.73,189.7,-21.9,-22,98.2,96.4
2011-01-05T21:00:00,7.83,188.6,-21.7,-21.9,98.2,95.8
2011-01-05T22:00:00,7.89,188,-21.7,-21.9,98.2,96
2011-01-05T23:00:00,7.85,186.7,-21.8,-21.9,98.2,96.3
2011-01-06T00:00:00,7.77,185.3,-21.8,-21.9,98.2,96.7
2011-01-06T01:00:00,7.76,184.1,-21.7,-21.8,98.2,96.6
2011-01-06T02:00:00,7.68,183.4,-21.6,-21.7,98.2,96.7
2011-01-06T03:00:00,7.69,182.1,-21.5,-21.6,98.2,96.9
2011-01-06T04:00:00,8.01,181.2,-21.2,-21.3,98.2,96.8
2011-01-06T05:00:00,8.2,180.2,-20.8,-20.9,98.2,97.4
2011-01-06T06:00:00,8.08,177.6,-20.7,-20.8,98.2,97.2
2011-01-06T07:00:00,8.09,175.4,-20.4,-20.6,98.2,97
2011-01-06T08:00:00,8.22,174.1,-19.9,-20.1,98.2,96.7
