Date/time [UTC],Speed_50m [m/s],Direction_50m [degrees],Temperature_10m [degrees C],Temperature_2m [degrees C],Pressure_0m [kPa],RH_2m [%]
2011-01-01T00:00:00,13.58,178.8,-18.3,-18.6,102.1,89.1
2011-01-01T01:00:00,13.71,178.9,-18.8,-19,102,89.2
2011-01-01T02:00:00,13.75,179.4,-19,-19.3,102,89.9
2011-01-01T03:00:00,13.57,180.2,-19.1,-19.4,102,91.7
2011-01-01T04:00:00,13.25,181.6,-19.3,-19.5,102,92.3
2011-01-01T05:00:00,12.83,183.4,-19.5,-19.7,102,92
2011-01-01T06:00:00,12.33,184.3,-19.8,-20,102.1,91.4
2011-01-01T07:00:00,11.83,184.8,-20.1,-20.3,102.1,91.3
2011-01-01T08:00:00,11.26,185.1,-20.3,-20.5,102.1,92.6
2011-01-01T09:00:00,10.89,184.8,-20.1,-20.3,102.1,94
2011-01-01T10:00:00,10.86,185.1,-19.5,-19.6,102.1,94.7
2011-01-01T11:00:00,10.83,185.1,-18.6,-18.7,102.2,95.4
2011-01-01T12:00:00,10.72,185.3,-17.7,-17.8,102.2,95.8
2011-01-01T13:00:00,10.48,184.4,-16.9,-17,102.2,96.1
2011-01-01T14:00:00,10.46,186.6,-16.1,-16.2,102.2,96.4
2011-01-01T15:00:00,10.25,189.3,-15.6,-15.7,102.2,96.1
2011-01-01T16:00:00,9.96,192.1,-15.4,-15.6,102.3,96
2011-01-01T17:00:00,9.76,195.4,-15.4,-15.6,102.4,96
2011-01-01T18:00:00,9.56,201.2,-15.2,-15.4,102.5,96
2011-01-01T19:00:00,9.32,204.3,-15.1,-15.3,102.5,96.2
2011-01-01T20:00:00,9.08,207.2,-15,-15.3,102.6,96.5
2011-01-01T21:00:00,8.77,204.5,-15.1,-15.4,102.6,96.9
2011-01-01T22:00:00,8.64,199.4,-15,-15.3,102.6,97
2011-01-01T23:00:00,8.49,193.6,-15,-15.2,102.6,97.2
2011-01-02T00:00:00,8.25,185.9,-15.2,-15.4,102.6,97.4
2011-01-02T01:00:00,8.14,178.7,-15.6,-15.7,102.6,97.7
2011-01-02T02:00:00,8.02,174.2,-16,-16,102.5,97.7
